🔬 Generando tabla periódica de palitos...
✅ Generados 3101 átomos

==================================================================================================================================
N°,Nombre,Capas,I,O,Longitud,P.Fusion,Desap,Mag,Fuerza,Conduct,React,Radiact
817,Atom_817,5,21,11,3,2672.7,0,0.00,No,270.0,395.0,14.14
818,Atom_818,5,21,12,3,1144.7,0,0.00,No,260.0,405.0,14.31
819,Atom_819,5,21,13,3,2608.7,0,0.00,No,250.0,415.0,14.48
820,Atom_820,5,21,14,3,1080.7,0,0.00,No,240.0,425.0,14.65
821,Atom_821,5,21,15,3,2544.7,0,0.00,No,230.0,435.0,14.82
822,Atom_822,5,21,16,3,-273.0,0,0.00,No,220.0,445.0,14.99
823,Atom_823,5,21,17,3,2480.7,0,0.00,No,210.0,455.0,15.16
824,Atom_824,5,21,18,3,-273.0,0,0.00,No,200.0,465.0,15.33
825,Atom_825,5,22,0,3,3152.7,0,0.00,No,310.0,300.0,12.44
826,Atom_826,5,22,1,3,3120.7,0,0.00,No,317.5,305.5,12.61
827,Atom_827,5,22,2,3,2714.7,0,0.00,No,325.0,311.0,12.78
828,Atom_828,5,22,3,3,3056.7,0,0.00,No,332.5,319.5,12.95
829,Atom_829,5,22,4,3,2276.7,0,0.00,No,340.0,326.0,13.12
830,Atom_830,5,22,5,3,2992.7,0,0.00,No,322.0,332.5,13.29
831,Atom_831,5,22,6,3,2212.7,0,0.00,No,318.0,360.0,13.46
832,Atom_832,5,22,7,3,2928.7,0,0.00,No,314.0,370.0,13.63
833,Atom_833,5,22,8,3,1400.7,0,0.00,No,310.0,380.0,13.80
834,Atom_834,5,22,9,3,2864.7,0,0.00,No,300.0,390.0,13.97
835,Atom_835,5,22,10,3,1336.7,0,0.00,No,290.0,400.0,14.14
836,Atom_836,5,22,11,3,2800.7,0,0.00,No,280.0,410.0,14.31
837,Atom_837,5,22,12,3,1272.7,0,0.00,No,270.0,420.0,14.48
838,Atom_838,5,22,13,3,2736.7,0,0.00,No,260.0,430.0,14.65
839,Atom_839,5,22,14,3,1208.7,0,0.00,No,250.0,440.0,14.82
840,Atom_840,5,22,15,3,2672.7,0,0.00,No,240.0,450.0,14.99
841,Atom_841,5,22,16,3,-273.0,0,0.00,No,230.0,460.0,15.16
842,Atom_842,5,22,17,3,2608.7,0,0.00,No,220.0,470.0,15.33
843,Atom_843,5,22,18,3,-273.0,0,0.00,No,210.0,480.0,15.50
844,Atom_844,5,23,0,3,3280.7,0,0.00,No,320.0,315.0,12.61
845,Atom_845,5,23,1,3,3248.7,0,0.00,No,327.5,320.5,12.78
846,Atom_846,5,23,2,3,2842.7,0,0.00,No,335.0,326.0,12.95
847,Atom_847,5,23,3,3,3184.7,0,0.00,No,342.5,334.5,13.12
848,Atom_848,5,23,4,3,2404.7,0,0.00,No,350.0,341.0,13.29
849,Atom_849,5,23,5,3,3120.7,0,0.00,No,332.0,347.5,13.46
850,Atom_850,5,23,6,3,2340.7,0,0.00,No,328.0,375.0,13.63
851,Atom_851,5,23,7,3,3056.7,0,0.00,No,324.0,385.0,13.80
852,Atom_852,5,23,8,3,1528.7,0,0.00,No,320.0,395.0,13.97
853,Atom_853,5,23,9,3,2992.7,0,0.00,No,310.0,405.0,14.14
854,Atom_854,5,23,10,3,1464.7,0,0.00,No,300.0,415.0,14.31
855,Atom_855,5,23,11,3,2928.7,0,0.00,No,290.0,425.0,14.48
856,Atom_856,5,23,12,3,1400.7,0,0.00,No,280.0,435.0,14.65
857,Atom_857,5,23,13,3,2864.7,0,0.00,No,270.0,445.0,14.82
858,Atom_858,5,23,14,3,1336.7,0,0.00,No,260.0,455.0,14.99
859,Atom_859,5,23,15,3,2800.7,0,0.00,No,250.0,465.0,15.16
860,Atom_860,5,23,16,3,-223.3,0,0.00,No,240.0,475.0,15.33
861,Atom_861,5,23,17,3,2736.7,0,0.00,No,230.0,485.0,15.50
862,Atom_862,5,23,18,3,-273.0,0,0.00,No,220.0,495.0,15.67
863,Atom_863,5,24,0,3,3408.7,0,0.00,No,330.0,330.0,12.78
864,Atom_864,5,24,1,3,3376.7,0,0.00,No,337.5,335.5,12.95
865,Atom_865,5,24,2,3,2970.7,0,0.00,No,345.0,341.0,13.12
866,Atom_866,5,24,3,3,3312.7,0,0.00,No,352.5,349.5,13.29
867,Atom_867,5,24,4,3,2532.7,0,0.00,No,360.0,356.0,13.46
868,Atom_868,5,24,5,3,3248.7,0,0.00,No,342.0,362.5,13.63
869,Atom_869,5,24,6,3,2468.7,0,0.00,No,338.0,390.0,13.80
870,Atom_870,5,24,7,3,3184.7,0,0.00,No,334.0,400.0,13.97
871,Atom_871,5,24,8,3,1656.7,0,0.00,No,330.0,410.0,14.14
872,Atom_872,5,24,9,3,3120.7,0,0.00,No,320.0,420.0,14.31
873,Atom_873,5,24,10,3,1592.7,0,0.00,No,310.0,430.0,14.48
874,Atom_874,5,24,11,3,3056.7,0,0.00,No,300.0,440.0,14.65
875,Atom_875,5,24,12,3,1528.7,0,0.00,No,290.0,450.0,14.82
876,Atom_876,5,24,13,3,2992.7,0,0.00,No,280.0,460.0,14.99
877,Atom_877,5,24,14,3,1464.7,0,0.00,No,270.0,470.0,15.16
878,Atom_878,5,24,15,3,2928.7,0,0.00,No,260.0,480.0,15.33
879,Atom_879,5,24,16,3,-95.3,0,0.00,No,250.0,490.0,15.50
880,Atom_880,5,24,17,3,2864.7,0,0.00,No,240.0,500.0,15.67
881,Atom_881,5,24,18,3,-159.3,0,0.00,No,230.0,510.0,15.84
882,Atom_882,5,25,0,3,3536.7,0,0.00,No,340.0,345.0,12.95
883,Atom_883,5,25,1,3,3504.7,0,0.00,No,347.5,350.5,13.12
884,Atom_884,5,25,2,3,3098.7,0,0.00,No,355.0,356.0,13.29
885,Atom_885,5,25,3,3,3440.7,0,0.00,No,362.5,364.5,13.46
886,Atom_886,5,25,4,3,2660.7,0,0.00,No,370.0,371.0,13.63
887,Atom_887,5,25,5,3,3376.7,0,0.00,No,352.0,377.5,13.80
888,Atom_888,5,25,6,3,2596.7,0,0.00,No,348.0,405.0,13.97
889,Atom_889,5,25,7,3,3312.7,0,0.00,No,344.0,415.0,14.14
890,Atom_890,5,25,8,3,1784.7,0,0.00,No,340.0,425.0,14.31
891,Atom_891,5,25,9,3,3248.7,0,0.00,No,330.0,435.0,14.48
892,Atom_892,5,25,10,3,1720.7,0,0.00,No,320.0,445.0,14.65
893,Atom_893,5,25,11,3,3184.7,0,0.00,No,310.0,455.0,14.82
894,Atom_894,5,25,12,3,1656.7,0,0.00,No,300.0,465.0,14.99
895,Atom_895,5,25,13,3,3120.7,0,0.00,No,290.0,475.0,15.16
896,Atom_896,5,25,14,3,1592.7,0,0.00,No,280.0,485.0,15.33
897,Atom_897,5,25,15,3,3056.7,0,0.00,No,270.0,495.0,15.50
898,Atom_898,5,25,16,3,32.7,0,0.00,No,260.0,505.0,15.67
899,Atom_899,5,25,17,3,2992.7,0,0.00,No,250.0,515.0,15.84
900,Atom_900,5,25,18,3,-31.3,0,0.00,No,240.0,525.0,16.01
901,Atom_901,6,0,0,2,409.0,0,0.00,No,72.0,0.0,26.10
902,Atom_902,6,0,1,2,377.0,0,0.00,No,77.0,0.0,26.52
903,Atom_903,6,0,2,2,-29.0,0,0.00,No,82.0,0.0,26.95
904,Atom_904,6,0,3,2,313.0,0,0.00,No,87.0,0.0,27.38
905,Atom_905,6,0,4,2,-273.0,0,0.00,No,92.0,0.0,27.80
906,Atom_906,6,0,5,2,249.0,0,0.00,No,97.0,0.0,28.22
907,Atom_907,6,0,6,2,-273.0,0,0.00,No,102.0,0.0,28.65
908,Atom_908,6,0,7,2,185.0,0,0.00,No,85.3,0.0,29.07
909,Atom_909,6,0,8,2,-273.0,0,0.00,No,82.7,0.0,29.50
910,Atom_910,6,0,9,2,121.0,0,0.00,No,80.0,0.0,29.92
911,Atom_911,6,0,10,2,-273.0,0,0.00,No,77.3,0.0,30.35
912,Atom_912,6,0,11,2,57.0,0,0.00,No,74.7,0.0,30.77
913,Atom_913,6,0,12,2,-273.0,0,0.00,No,72.0,0.0,31.20
914,Atom_914,6,0,13,2,-7.0,0,0.00,No,65.3,0.0,31.62
915,Atom_915,6,0,14,2,-273.0,0,0.00,No,58.7,0.0,32.05
916,Atom_916,6,0,15,2,-71.0,0,0.00,No,52.0,0.0,32.47
917,Atom_917,6,0,16,2,-273.0,0,0.00,No,45.3,0.0,32.90
918,Atom_918,6,0,17,2,-135.0,0,0.00,No,38.7,0.0,33.32
919,Atom_919,6,0,18,2,-273.0,0,0.00,No,32.0,0.0,33.75
920,Atom_920,6,0,19,2,-199.0,0,0.00,No,25.3,0.0,34.17
921,Atom_921,6,0,20,2,-273.0,0,0.00,No,18.7,0.0,34.60
922,Atom_922,6,0,21,2,-263.0,0,0.00,No,12.0,0.0,35.02
923,Atom_923,6,0,22,2,-273.0,0,0.00,No,5.3,0.0,35.45
924,Atom_924,6,1,0,2,537.0,1,1.96,Si,82.0,185.0,26.52
925,Atom_925,6,1,1,2,505.0,1,1.96,Si,87.0,184.7,26.95
926,Atom_926,6,1,2,2,99.0,0,0.00,No,92.0,184.3,27.38
927,Atom_927,6,1,3,2,441.0,0,0.00,No,97.0,183.0,27.80
928,Atom_928,6,1,4,2,-273.0,0,0.00,No,102.0,182.3,28.22
929,Atom_929,6,1,5,2,377.0,0,0.00,No,107.0,181.7,28.65
930,Atom_930,6,1,6,2,-273.0,0,0.00,No,112.0,195.0,29.07
931,Atom_931,6,1,7,2,313.0,0,0.00,No,95.3,196.7,29.50
932,Atom_932,6,1,8,2,-273.0,0,0.00,No,92.7,198.3,29.92
933,Atom_933,6,1,9,2,249.0,0,0.00,No,90.0,200.0,30.35
934,Atom_934,6,1,10,2,-273.0,0,0.00,No,87.3,201.7,30.77
935,Atom_935,6,1,11,2,185.0,0,0.00,No,84.7,203.3,31.20
936,Atom_936,6,1,12,2,-273.0,0,0.00,No,82.0,205.0,31.62
937,Atom_937,6,1,13,2,121.0,0,0.00,No,75.3,206.7,32.05
938,Atom_938,6,1,14,2,-273.0,0,0.00,No,68.7,208.3,32.47
939,Atom_939,6,1,15,2,57.0,0,0.00,No,62.0,210.0,32.90
940,Atom_940,6,1,16,2,-273.0,0,0.00,No,55.3,211.7,33.32
941,Atom_941,6,1,17,2,-7.0,0,0.00,No,48.7,213.3,33.75
942,Atom_942,6,1,18,2,-273.0,0,0.00,No,42.0,215.0,34.17
943,Atom_943,6,1,19,2,-71.0,0,0.00,No,35.3,216.7,34.60
944,Atom_944,6,1,20,2,-273.0,0,0.00,No,28.7,218.3,35.02
945,Atom_945,6,1,21,2,-135.0,0,0.00,No,22.0,220.0,35.45
946,Atom_946,6,1,22,2,-273.0,0,0.00,No,15.3,226.7,35.88
947,Atom_947,6,2,0,2,665.0,2,3.92,Si,92.0,150.0,26.95
948,Atom_948,6,2,1,2,633.0,2,3.92,Si,97.0,149.7,27.38
949,Atom_949,6,2,2,2,227.0,1,1.96,Si,102.0,149.3,27.80
950,Atom_950,6,2,3,2,569.0,1,1.96,Si,107.0,148.0,28.22
951,Atom_951,6,2,4,2,-211.0,0,0.00,No,112.0,147.3,28.65
952,Atom_952,6,2,5,2,505.0,0,0.00,No,117.0,146.7,29.07
953,Atom_953,6,2,6,2,-273.0,0,0.00,No,122.0,160.0,29.50
954,Atom_954,6,2,7,2,441.0,0,0.00,No,105.3,161.7,29.92
955,Atom_955,6,2,8,2,-273.0,0,0.00,No,102.7,163.3,30.35
956,Atom_956,6,2,9,2,377.0,0,0.00,No,100.0,165.0,30.77
957,Atom_957,6,2,10,2,-273.0,0,0.00,No,97.3,166.7,31.20
958,Atom_958,6,2,11,2,313.0,0,0.00,No,94.7,168.3,31.62
959,Atom_959,6,2,12,2,-273.0,0,0.00,No,92.0,170.0,32.05
960,Atom_960,6,2,13,2,249.0,0,0.00,No,85.3,171.7,32.47
961,Atom_961,6,2,14,2,-273.0,0,0.00,No,78.7,173.3,32.90
962,Atom_962,6,2,15,2,185.0,0,0.00,No,72.0,175.0,33.32
963,Atom_963,6,2,16,2,-273.0,0,0.00,No,65.3,176.7,33.75
964,Atom_964,6,2,17,2,121.0,0,0.00,No,58.7,178.3,34.17
965,Atom_965,6,2,18,2,-273.0,0,0.00,No,52.0,180.0,34.60
966,Atom_966,6,2,19,2,57.0,0,0.00,No,45.3,186.7,35.02
967,Atom_967,6,2,20,2,-273.0,0,0.00,No,38.7,193.3,35.45
968,Atom_968,6,2,21,2,-7.0,0,0.00,No,32.0,200.0,35.88
969,Atom_969,6,2,22,2,-273.0,0,0.00,No,25.3,206.7,36.30
970,Atom_970,6,3,0,2,793.0,3,5.87,Si,102.0,115.0,27.38
971,Atom_971,6,3,1,2,761.0,3,5.87,Si,107.0,114.7,27.80
972,Atom_972,6,3,2,2,355.0,2,3.92,Si,112.0,114.3,28.22
973,Atom_973,6,3,3,2,697.0,2,3.92,Si,117.0,113.0,28.65
974,Atom_974,6,3,4,2,-83.0,1,1.96,Si,122.0,112.3,29.07
975,Atom_975,6,3,5,2,633.0,1,1.96,Si,127.0,111.7,29.50
976,Atom_976,6,3,6,2,-147.0,0,0.00,No,132.0,125.0,29.92
977,Atom_977,6,3,7,2,569.0,0,0.00,No,115.3,126.7,30.35
978,Atom_978,6,3,8,2,-273.0,0,0.00,No,112.7,128.3,30.77
979,Atom_979,6,3,9,2,505.0,0,0.00,No,110.0,130.0,31.20
980,Atom_980,6,3,10,2,-273.0,0,0.00,No,107.3,131.7,31.62
981,Atom_981,6,3,11,2,441.0,0,0.00,No,104.7,133.3,32.05
982,Atom_982,6,3,12,2,-273.0,0,0.00,No,102.0,135.0,32.47
983,Atom_983,6,3,13,2,377.0,0,0.00,No,95.3,136.7,32.90
984,Atom_984,6,3,14,2,-273.0,0,0.00,No,88.7,138.3,33.32
985,Atom_985,6,3,15,2,313.0,0,0.00,No,82.0,140.0,33.75
986,Atom_986,6,3,16,2,-273.0,0,0.00,No,75.3,146.7,34.17
987,Atom_987,6,3,17,2,249.0,0,0.00,No,68.7,153.3,34.60
988,Atom_988,6,3,18,2,-273.0,0,0.00,No,62.0,160.0,35.02
989,Atom_989,6,3,19,2,185.0,0,0.00,No,55.3,166.7,35.45
990,Atom_990,6,3,20,2,-273.0,0,0.00,No,48.7,173.3,35.88
991,Atom_991,6,3,21,2,121.0,0,0.00,No,42.0,180.0,36.30
992,Atom_992,6,3,22,2,-273.0,0,0.00,No,35.3,186.7,36.73
993,Atom_993,6,4,0,2,921.0,4,7.83,Si,112.0,85.0,27.80
994,Atom_994,6,4,1,2,889.0,4,7.83,Si,117.0,84.7,28.22
995,Atom_995,6,4,2,2,483.0,3,5.87,Si,122.0,84.3,28.65
996,Atom_996,6,4,3,2,825.0,3,5.87,Si,127.0,83.0,29.07
997,Atom_997,6,4,4,2,45.0,2,3.92,Si,132.0,82.3,29.50
998,Atom_998,6,4,5,2,761.0,2,3.92,Si,137.0,81.7,29.92
999,Atom_999,6,4,6,2,-19.0,1,1.96,Si,142.0,95.0,30.35
1000,Atom_1000,6,4,7,2,697.0,1,1.96,Si,125.3,96.7,30.77
1001,Atom_1001,6,4,8,2,-273.0,0,0.00,No,122.7,98.3,31.20
1002,Atom_1002,6,4,9,2,633.0,0,0.00,No,120.0,100.0,31.62
1003,Atom_1003,6,4,10,2,-273.0,0,0.00,No,117.3,101.7,32.05
1004,Atom_1004,6,4,11,2,569.0,0,0.00,No,114.7,103.3,32.47
1005,Atom_1005,6,4,12,2,-273.0,0,0.00,No,112.0,105.0,32.90
1006,Atom_1006,6,4,13,2,505.0,0,0.00,No,105.3,111.7,33.32
1007,Atom_1007,6,4,14,2,-273.0,0,0.00,No,98.7,118.3,33.75
1008,Atom_1008,6,4,15,2,441.0,0,0.00,No,92.0,125.0,34.17
1009,Atom_1009,6,4,16,2,-273.0,0,0.00,No,85.3,131.7,34.60
1010,Atom_1010,6,4,17,2,377.0,0,0.00,No,78.7,138.3,35.02
1011,Atom_1011,6,4,18,2,-273.0,0,0.00,No,72.0,145.0,35.45
1012,Atom_1012,6,4,19,2,313.0,0,0.00,No,65.3,151.7,35.88
1013,Atom_1013,6,4,20,2,-273.0,0,0.00,No,58.7,158.3,36.30
1014,Atom_1014,6,4,21,2,249.0,0,0.00,No,52.0,165.0,36.73
1015,Atom_1015,6,4,22,2,-273.0,0,0.00,No,45.3,171.7,37.15
1016,Atom_1016,6,5,0,2,1049.0,5,9.79,Si,122.0,75.0,28.22
1017,Atom_1017,6,5,1,2,1017.0,5,9.79,Si,127.0,74.7,28.65
1018,Atom_1018,6,5,2,2,611.0,4,7.83,Si,132.0,74.3,29.07
1019,Atom_1019,6,5,3,2,953.0,4,7.83,Si,137.0,73.0,29.50
1020,Atom_1020,6,5,4,2,173.0,3,5.87,Si,142.0,72.3,29.92
1021,Atom_1021,6,5,5,2,889.0,3,5.87,Si,147.0,71.7,30.35
1022,Atom_1022,6,5,6,2,109.0,2,3.92,Si,152.0,85.0,30.77
1023,Atom_1023,6,5,7,2,825.0,2,3.92,Si,135.3,86.7,31.20
1024,Atom_1024,6,5,8,2,-273.0,1,1.96,Si,132.7,88.3,31.62
1025,Atom_1025,6,5,9,2,761.0,1,1.96,Si,130.0,90.0,32.05
1026,Atom_1026,6,5,10,2,-273.0,0,0.00,No,127.3,96.7,32.47
1027,Atom_1027,6,5,11,2,697.0,0,0.00,No,124.7,103.3,32.90
1028,Atom_1028,6,5,12,2,-273.0,0,0.00,No,122.0,110.0,33.32
1029,Atom_1029,6,5,13,2,633.0,0,0.00,No,115.3,116.7,33.75
1030,Atom_1030,6,5,14,2,-273.0,0,0.00,No,108.7,123.3,34.17
1031,Atom_1031,6,5,15,2,569.0,0,0.00,No,102.0,130.0,34.60
1032,Atom_1032,6,5,16,2,-273.0,0,0.00,No,95.3,136.7,35.02
1033,Atom_1033,6,5,17,2,505.0,0,0.00,No,88.7,143.3,35.45
1034,Atom_1034,6,5,18,2,-273.0,0,0.00,No,82.0,150.0,35.88
1035,Atom_1035,6,5,19,2,441.0,0,0.00,No,75.3,156.7,36.30
1036,Atom_1036,6,5,20,2,-273.0,0,0.00,No,68.7,163.3,36.73
1037,Atom_1037,6,5,21,2,377.0,0,0.00,No,62.0,170.0,37.15
1038,Atom_1038,6,5,22,2,-273.0,0,0.00,No,55.3,176.7,37.57
1039,Atom_1039,6,6,0,2,1177.0,4,7.83,Si,162.0,70.0,28.65
1040,Atom_1040,6,6,1,2,1145.0,4,7.83,Si,167.0,69.7,29.07
1041,Atom_1041,6,6,2,2,739.0,1,1.96,Si,172.0,69.3,29.50
1042,Atom_1042,6,6,3,2,1081.0,0,0.00,No,177.0,68.0,29.92
1043,Atom_1043,6,6,4,2,301.0,0,0.00,No,182.0,67.3,30.35
1044,Atom_1044,6,6,5,2,1017.0,0,0.00,No,187.0,66.7,30.77
1045,Atom_1045,6,6,6,2,237.0,0,0.00,No,192.0,80.0,31.20
1046,Atom_1046,6,6,7,2,953.0,0,0.00,No,175.3,86.7,31.62
1047,Atom_1047,6,6,8,2,-273.0,0,0.00,No,172.7,93.3,32.05
1048,Atom_1048,6,6,9,2,889.0,0,0.00,No,170.0,100.0,32.47
1049,Atom_1049,6,6,10,2,-273.0,0,0.00,No,167.3,106.7,32.90
1050,Atom_1050,6,6,11,2,825.0,0,0.00,No,164.7,113.3,33.32
1051,Atom_1051,6,6,12,2,-273.0,0,0.00,No,162.0,120.0,33.75
1052,Atom_1052,6,6,13,2,761.0,0,0.00,No,155.3,126.7,34.17
1053,Atom_1053,6,6,14,2,-273.0,0,0.00,No,148.7,133.3,34.60
1054,Atom_1054,6,6,15,2,697.0,0,0.00,No,142.0,140.0,35.02
1055,Atom_1055,6,6,16,2,-273.0,0,0.00,No,135.3,146.7,35.45
1056,Atom_1056,6,6,17,2,633.0,0,0.00,No,128.7,153.3,35.88
1057,Atom_1057,6,6,18,2,-273.0,0,0.00,No,122.0,160.0,36.30
1058,Atom_1058,6,6,19,2,569.0,0,0.00,No,115.3,166.7,36.73
1059,Atom_1059,6,6,20,2,-273.0,0,0.00,No,108.7,173.3,37.15
1060,Atom_1060,6,6,21,2,505.0,0,0.00,No,102.0,180.0,37.57
1061,Atom_1061,6,6,22,2,-273.0,0,0.00,No,95.3,186.7,38.00
1062,Atom_1062,6,7,0,2,1305.0,3,10.57,Si,172.0,70.0,29.07
1063,Atom_1063,6,7,1,2,1273.0,3,5.87,Si,177.0,69.7,29.50
1064,Atom_1064,6,7,2,2,867.0,0,0.00,No,182.0,69.3,29.92
1065,Atom_1065,6,7,3,2,1209.0,0,0.00,No,187.0,68.0,30.35
1066,Atom_1066,6,7,4,2,429.0,0,0.00,No,192.0,72.3,30.77
1067,Atom_1067,6,7,5,2,1145.0,0,0.00,No,197.0,76.7,31.20
1068,Atom_1068,6,7,6,2,365.0,0,0.00,No,202.0,95.0,31.62
1069,Atom_1069,6,7,7,2,1081.0,0,0.00,No,185.3,101.7,32.05
1070,Atom_1070,6,7,8,2,-273.0,0,0.00,No,182.7,108.3,32.47
1071,Atom_1071,6,7,9,2,1017.0,0,0.00,No,180.0,115.0,32.90
1072,Atom_1072,6,7,10,2,-273.0,0,0.00,No,177.3,121.7,33.32
1073,Atom_1073,6,7,11,2,953.0,0,0.00,No,174.7,128.3,33.75
1074,Atom_1074,6,7,12,2,-273.0,0,0.00,No,172.0,135.0,34.17
1075,Atom_1075,6,7,13,2,889.0,0,0.00,No,165.3,141.7,34.60
1076,Atom_1076,6,7,14,2,-273.0,0,0.00,No,158.7,148.3,35.02
1077,Atom_1077,6,7,15,2,825.0,0,0.00,No,152.0,155.0,35.45
1078,Atom_1078,6,7,16,2,-273.0,0,0.00,No,145.3,161.7,35.88
1079,Atom_1079,6,7,17,2,761.0,0,0.00,No,138.7,168.3,36.30
1080,Atom_1080,6,7,18,2,-273.0,0,0.00,No,132.0,175.0,36.73
1081,Atom_1081,6,7,19,2,697.0,0,0.00,No,125.3,181.7,37.15
1082,Atom_1082,6,7,20,2,-273.0,0,0.00,No,118.7,188.3,37.57
1083,Atom_1083,6,7,21,2,633.0,0,0.00,No,112.0,195.0,38.00
1084,Atom_1084,6,7,22,2,-273.0,0,0.00,No,105.3,201.7,38.43
1085,Atom_1085,6,8,0,2,1433.0,2,7.05,Si,182.0,70.0,29.50
1086,Atom_1086,6,8,1,2,1401.0,2,3.92,Si,187.0,74.7,29.92
1087,Atom_1087,6,8,2,2,995.0,0,0.00,No,192.0,79.3,30.35
1088,Atom_1088,6,8,3,2,1337.0,0,0.00,No,197.0,83.0,30.77
1089,Atom_1089,6,8,4,2,557.0,0,0.00,No,202.0,87.3,31.20
1090,Atom_1090,6,8,5,2,1273.0,0,0.00,No,207.0,91.7,31.62
1091,Atom_1091,6,8,6,2,493.0,0,0.00,No,212.0,110.0,32.05
1092,Atom_1092,6,8,7,2,1209.0,0,0.00,No,195.3,116.7,32.47
1093,Atom_1093,6,8,8,2,-273.0,0,0.00,No,192.7,123.3,32.90
1094,Atom_1094,6,8,9,2,1145.0,0,0.00,No,190.0,130.0,33.32
1095,Atom_1095,6,8,10,2,-273.0,0,0.00,No,187.3,136.7,33.75
1096,Atom_1096,6,8,11,2,1081.0,0,0.00,No,184.7,143.3,34.17
1097,Atom_1097,6,8,12,2,-273.0,0,0.00,No,182.0,150.0,34.60
1098,Atom_1098,6,8,13,2,1017.0,0,0.00,No,175.3,156.7,35.02
1099,Atom_1099,6,8,14,2,-273.0,0,0.00,No,168.7,163.3,35.45
1100,Atom_1100,6,8,15,2,953.0,0,0.00,No,162.0,170.0,35.88
1101,Atom_1101,6,8,16,2,-273.0,0,0.00,No,155.3,176.7,36.30
1102,Atom_1102,6,8,17,2,889.0,0,0.00,No,148.7,183.3,36.73
1103,Atom_1103,6,8,18,2,-273.0,0,0.00,No,142.0,190.0,37.15
1104,Atom_1104,6,8,19,2,825.0,0,0.00,No,135.3,196.7,37.57
1105,Atom_1105,6,8,20,2,-273.0,0,0.00,No,128.7,203.3,38.00
1106,Atom_1106,6,8,21,2,761.0,0,0.00,No,122.0,210.0,38.43
1107,Atom_1107,6,8,22,2,-273.0,0,0.00,No,115.3,216.7,38.85
1108,Atom_1108,6,9,0,2,1561.0,1,3.52,Si,192.0,85.0,29.92
1109,Atom_1109,6,9,1,2,1529.0,1,1.96,Si,197.0,89.7,30.35
1110,Atom_1110,6,9,2,2,1123.0,0,0.00,No,202.0,94.3,30.77
1111,Atom_1111,6,9,3,2,1465.0,0,0.00,No,207.0,98.0,31.20
1112,Atom_1112,6,9,4,2,685.0,0,0.00,No,212.0,102.3,31.62
1113,Atom_1113,6,9,5,2,1401.0,0,0.00,No,217.0,106.7,32.05
1114,Atom_1114,6,9,6,2,621.0,0,0.00,No,222.0,125.0,32.47
1115,Atom_1115,6,9,7,2,1337.0,0,0.00,No,205.3,131.7,32.90
1116,Atom_1116,6,9,8,2,-191.0,0,0.00,No,202.7,138.3,33.32
1117,Atom_1117,6,9,9,2,1273.0,0,0.00,No,200.0,145.0,33.75
1118,Atom_1118,6,9,10,2,-255.0,0,0.00,No,197.3,151.7,34.17
1119,Atom_1119,6,9,11,2,1209.0,0,0.00,No,194.7,158.3,34.60
1120,Atom_1120,6,9,12,2,-273.0,0,0.00,No,192.0,165.0,35.02
1121,Atom_1121,6,9,13,2,1145.0,0,0.00,No,185.3,171.7,35.45
1122,Atom_1122,6,9,14,2,-273.0,0,0.00,No,178.7,178.3,35.88
1123,Atom_1123,6,9,15,2,1081.0,0,0.00,No,172.0,185.0,36.30
1124,Atom_1124,6,9,16,2,-273.0,0,0.00,No,165.3,191.7,36.73
1125,Atom_1125,6,9,17,2,1017.0,0,0.00,No,158.7,198.3,37.15
1126,Atom_1126,6,9,18,2,-273.0,0,0.00,No,152.0,205.0,37.57
1127,Atom_1127,6,9,19,2,953.0,0,0.00,No,145.3,211.7,38.00
1128,Atom_1128,6,9,20,2,-273.0,0,0.00,No,138.7,218.3,38.43
1129,Atom_1129,6,9,21,2,889.0,0,0.00,No,132.0,225.0,38.85
1130,Atom_1130,6,9,22,2,-273.0,0,0.00,No,125.3,231.7,39.27
1131,Atom_1131,6,10,0,2,1689.0,0,0.00,No,202.0,100.0,30.35
1132,Atom_1132,6,10,1,2,1657.0,0,0.00,No,207.0,104.7,30.77
1133,Atom_1133,6,10,2,2,1251.0,0,0.00,No,212.0,109.3,31.20
1134,Atom_1134,6,10,3,2,1593.0,0,0.00,No,217.0,113.0,31.62
1135,Atom_1135,6,10,4,2,813.0,0,0.00,No,222.0,117.3,32.05
1136,Atom_1136,6,10,5,2,1529.0,0,0.00,No,227.0,121.7,32.47
1137,Atom_1137,6,10,6,2,749.0,0,0.00,No,232.0,140.0,32.90
1138,Atom_1138,6,10,7,2,1465.0,0,0.00,No,215.3,146.7,33.32
1139,Atom_1139,6,10,8,2,-63.0,0,0.00,No,212.7,153.3,33.75
1140,Atom_1140,6,10,9,2,1401.0,0,0.00,No,210.0,160.0,34.17
1141,Atom_1141,6,10,10,2,-127.0,0,0.00,No,207.3,166.7,34.60
1142,Atom_1142,6,10,11,2,1337.0,0,0.00,No,204.7,173.3,35.02
1143,Atom_1143,6,10,12,2,-191.0,0,0.00,No,202.0,180.0,35.45
1144,Atom_1144,6,10,13,2,1273.0,0,0.00,No,195.3,186.7,35.88
1145,Atom_1145,6,10,14,2,-255.0,0,0.00,No,188.7,193.3,36.30
1146,Atom_1146,6,10,15,2,1209.0,0,0.00,No,182.0,200.0,36.73
1147,Atom_1147,6,10,16,2,-273.0,0,0.00,No,175.3,206.7,37.15
1148,Atom_1148,6,10,17,2,1145.0,0,0.00,No,168.7,213.3,37.57
1149,Atom_1149,6,10,18,2,-273.0,0,0.00,No,162.0,220.0,38.00
